TRN_STUDENT_ACADEMICYEAR,TRN_STUDENT_GENDER_NAME,TRN_STUDENT_GRADE_LEVEL_NAME,TRN_STUDENT_STUDENTSTATUS_NAME,TOTAL
2563,ชาย,ประถมศึกษาปีที่ 5/เกรด 5,ไม่สามารถจำแนกข้อมูลได้,34985
2563,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,ไม่สามารถจำแนกข้อมูลได้,14
2563,ชาย,ประถมศึกษาปีที่ 1/เกรด 1,ไม่สามารถจำแนกข้อมูลได้,37486
2563,ข้อมูล error,ประถมศึกษาปีที่ 5/เกรด 5,ไม่สามารถจำแนกข้อมูลได้,2
2563,หญิง,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,อยู่ระหว่างดำเนินการติดตาม,2
2563,ชาย,ดุริยางค์ทหารบก/ดุริยางค์ทหารเรือชั้นปีที่ 3,ไม่สามารถจำแนกข้อมูลได้,9
2563,หญิง,ดุริยางค์ทหารบก/ดุริยางค์ทหารเรือชั้นปีที่ 2,ไม่สามารถจำแนกข้อมูลได้,6
2562,หญิง,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,อยู่ระหว่างดำเนินการติดตาม,621
2562,ชาย,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),ไม่ระบุข้อมูล,3495
2562,ชาย,ประถมศึกษาปีที่ 2/เกรด 2,อยู่ระหว่างดำเนินการติดตาม,358
2562,ชาย,ปริญญาตรีชั้นปีที่ 2 (อาชีวศึกษา),พักการเรียน,160
2562,หญิง,มัธยมศึกษาปีที่ 6/เกรด12/เตรียมทหารชั้นปีที่ 3/กศน.มัธยมศึกษา,ไม่ระบุข้อมูล,3176
2562,หญิง,มัธยมศึกษาปีที่ 5/เกรด11/เตรียมทหารชั้นปีที่ 2,ไม่ระบุข้อมูล,3233
2562,หญิง,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 2/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,ไม่ระบุข้อมูล,36
2562,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 3 (พุทธศึกษา),ไม่ระบุข้อมูล,275
2562,หญิง,ประถมศึกษาปีที่ 3/เกรด 3,ไม่ระบุข้อมูล,14828
2562,หญิง,มัธยมศึกษาปีที่ 3 (พุทธศึกษา),ไม่ระบุข้อมูล,144
2562,ชาย,มัธยมศึกษาปีที่ 2 /เกรด 8/ นาฎศิลป์ชั้นที่ 2,ไม่ระบุข้อมูล,9632
2562,ไม่ระบุข้อมูล,ประถมศึกษาปีที่ 5/เกรด 5,ไม่ระบุข้อมูล,755
2562,ชาย,มัธยมศึกษาปีที่ 5/เกรด11/เตรียมทหารชั้นปีที่ 2,ไม่ระบุข้อมูล,2445
2562,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 3,ไม่ระบุข้อมูล,180
2562,หญิง,ไม่จัดเก็บข้อมูล,อยู่ระหว่างดำเนินการติดตาม,142693
2562,หญิง,มัธยมศึกษาปีที่ 4 (พุทธศึกษา),พักการเรียน,11
2562,ชาย,อนุบาล 3(หลักสูตร 3 ปีของ สช.)/อนุบาล 2,อยู่ระหว่างดำเนินการติดตาม,77
2563,หญิง,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 2/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,พักการเรียน,1617
2563,ชาย,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 1/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,พักการเรียน,120
2563,หญิง,มัธยมศึกษาปีที่ 1 (พุทธศึกษา),ไม่ระบุข้อมูล,4
2563,หญิง,มัธยมศึกษาปีที่ 2 (พุทธศึกษา),ไม่ระบุข้อมูล,2
2563,หญิง,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,ไม่สามารถจำแนกข้อมูลได้,90647
2563,ชาย,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,ไม่สามารถจำแนกข้อมูลได้,47748
2563,หญิง,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,ไม่สามารถจำแนกข้อมูลได้,48269
2563,หญิง,ประถมศึกษาปีที่ 3/เกรด 3,ไม่สามารถจำแนกข้อมูลได้,35149
2563,หญิง,ประถมศึกษาปีที่ 1/เกรด 1,ไม่สามารถจำแนกข้อมูลได้,34518
2563,หญิง,มัธยมศึกษาปีที่ 5 (พุทธศึกษา),ไม่สามารถจำแนกข้อมูลได้,3489
2563,หญิง,ไม่สามารถจำแนกข้อมูลได้,ไม่สามารถจำแนกข้อมูลได้,165
2563,ข้อมูล error,ประถมศึกษาปีที่ 1/เกรด 1,ไม่สามารถจำแนกข้อมูลได้,3
2563,ชาย,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,อยู่ระหว่างดำเนินการติดตาม,2
2563,หญิง,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,เสียชีวิต,1
2563,หญิง,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,อยู่ระหว่างดำเนินการติดตาม,1
2563,หญิง,ดุริยางค์ทหารบก/ดุริยางค์ทหารเรือชั้นปีที่ 1,ไม่สามารถจำแนกข้อมูลได้,4
2562,ชาย,มัธยมศึกษาปีที่ 2 /เกรด 8/ นาฎศิลป์ชั้นที่ 2,อยู่ระหว่างดำเนินการติดตาม,2255
2562,ชาย,มัธยมศึกษาปีที่ 1 (พุทธศึกษา),ไม่ระบุข้อมูล,9011
2562,ชาย,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,อยู่ระหว่างดำเนินการติดตาม,43
2562,หญิง,ประกาศนียบัตรวิชาชีพปีที่ 3,พักการเรียน,3818
2562,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 3,พักการเรียน,6582
2562,ชาย,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),ไม่จัดเก็บข้อมูล,2798
2562,ชาย,ไม่ระบุข้อมูล,ไม่ระบุข้อมูล,2
2562,ชาย,ปริญญาตรีชั้นปีที่ 4 (สามัญ),ไม่จัดเก็บข้อมูล,83
2562,หญิง,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,ไม่ระบุข้อมูล,8514
2562,ชาย,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,ไม่ระบุข้อมูล,16828
2562,หญิง,ปริญญาตรีชั้นปีที่ 2 (อาชีวศึกษา),พักการเรียน,27
2562,หญิง,ประกาศนียบัตรวิชาชีพปีที่ 3,ไม่ระบุข้อมูล,145
2562,หญิง,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 1/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,ไม่ระบุข้อมูล,19
2562,หญิง,ประถมศึกษาปีที่ 1/เกรด 1,ไม่ระบุข้อมูล,15124
2562,หญิง,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,ไม่ระบุข้อมูล,9008
2562,หญิง,อนุบาล 3(หลักสูตร 3 ปีของ สช.)/อนุบาล 2,ไม่ระบุข้อมูล,11950
2562,หญิง,อนุบาล 1(หลักสูตร 3 ปีของ สช.)/อนุบาล 3 ขวบ,ไม่ระบุข้อมูล,3086
2562,หญิง,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),ไม่ระบุข้อมูล,119
2562,ชาย,ประถมศึกษาปีที่ 4/เกรด 4,ไม่ระบุข้อมูล,16410
2562,ชาย,อนุบาล 3(หลักสูตร 3 ปีของ สช.)/อนุบาล 2,ไม่ระบุข้อมูล,12618
2562,ไม่ระบุข้อมูล,ประถมศึกษาปีที่ 4/เกรด 4,ไม่ระบุข้อมูล,563
2562,ชาย,อนุบาล 1(หลักสูตร 3 ปีของ สช.)/อนุบาล 3 ขวบ,ไม่ระบุข้อมูล,3169
2562,หญิง,ไม่ระบุข้อมูล,ไม่ระบุข้อมูล,2
2562,ชาย,ไม่จัดเก็บข้อมูล,อยู่ระหว่างดำเนินการติดตาม,117280
2562,หญิง,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),พักการเรียน,2
2563,หญิง,ประกาศนียบัตรวิชาชีพปีที่ 2,พักการเรียน,370
2563,ชาย,ปริญญาตรีชั้นปีที่ 2 (อาชีวศึกษา),พักการเรียน,59
2563,หญิง,มัธยมศึกษาปีที่ 3 (พุทธศึกษา),ไม่ระบุข้อมูล,2
2563,หญิง,มัธยมศึกษาปีที่ 4 (พุทธศึกษา),ไม่ระบุข้อมูล,1
2563,หญิง,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),ไม่ระบุข้อมูล,3
2563,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 6/เกรด12/เตรียมทหารชั้นปีที่ 3/กศน.มัธยมศึกษา,ไม่สามารถจำแนกข้อมูลได้,14
2563,หญิง,ประถมศึกษาปีที่ 2/เกรด 2,ไม่สามารถจำแนกข้อมูลได้,35986
2563,ชาย,อนุบาล 3(หลักสูตร 3 ปีของ สช.)/อนุบาล 2,ไม่สามารถจำแนกข้อมูลได้,35335
2563,ข้อมูล error,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,ไม่สามารถจำแนกข้อมูลได้,1
2563,ชาย,อนุบาล 3(หลักสูตร 3 ปีของ สช.)/อนุบาล 2,พักการเรียน,1
2563,ชาย,มัธยมศึกษาปีที่ 2 /เกรด 8/ นาฎศิลป์ชั้นที่ 2,อยู่ระหว่างดำเนินการติดตาม,6
2563,หญิง,มัธยมศึกษาปีที่ 2 /เกรด 8/ นาฎศิลป์ชั้นที่ 2,อยู่ระหว่างดำเนินการติดตาม,2
2563,ชาย,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 1/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,ไม่สามารถจำแนกข้อมูลได้,1
2562,หญิง,ประถมศึกษาปีที่ 5/เกรด 5,อยู่ระหว่างดำเนินการติดตาม,214
2562,ชาย,ประถมศึกษาปีที่ 4/เกรด 4,อยู่ระหว่างดำเนินการติดตาม,492
2562,ชาย,ปริญญาตรีชั้นปีที่ 3 (สามัญ),ไม่จัดเก็บข้อมูล,75
2562,ชาย,ปริญญาตรีชั้นปีที่ 2 (สามัญ),ไม่จัดเก็บข้อมูล,74
2562,หญิง,มัธยมศึกษาปีที่ 5/เกรด11/เตรียมทหารชั้นปีที่ 2,อยู่ระหว่างดำเนินการติดตาม,1
2562,หญิง,มัธยมศึกษาปีที่ 4/เกรด10/เตรียมทหารชั้นปีที่ 1,ไม่ระบุข้อมูล,3252
2562,หญิง,ประกาศนียบัตรวิชาชีพปีที่ 1,ไม่ระบุข้อมูล,740
2562,หญิง,ประถมศึกษาปีที่ 5/เกรด 5,ไม่ระบุข้อมูล,15296
2562,หญิง,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,ไม่ระบุข้อมูล,10654
2562,ชาย,ประถมศึกษาปีที่ 5/เกรด 5,ไม่ระบุข้อมูล,16336
2562,ชาย,ประถมศึกษาปีที่ 1/เกรด 1,ไม่ระบุข้อมูล,16525
2562,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 2 (พุทธศึกษา),ไม่ระบุข้อมูล,650
2562,ไม่ระบุข้อมูล,อนุบาล 1(หลักสูตร 3 ปีของ สช.)/อนุบาล 3 ขวบ,ไม่ระบุข้อมูล,111
2562,ไม่ระบุข้อมูล,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,ไม่ระบุข้อมูล,203
2562,ชาย,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 1/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,ไม่ระบุข้อมูล,55
2562,ชาย,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 2/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,ไม่ระบุข้อมูล,75
2562,หญิง,ประถมศึกษาปีที่ 4/เกรด 4,ไม่ระบุข้อมูล,15503
2562,ชาย,ไม่จัดเก็บข้อมูล,พักการเรียน,28026
2562,ชาย,มัธยมศึกษาปีที่ 4 (พุทธศึกษา),พักการเรียน,2
2562,ชาย,อนุบาล 1(หลักสูตร 3 ปีของ สช.)/อนุบาล 3 ขวบ,อยู่ระหว่างดำเนินการติดตาม,5
2563,หญิง,ปริญญาตรีชั้นปีที่ 2 (อาชีวศึกษา),พักการเรียน,17
2563,ชาย,มัธยมศึกษาปีที่ 1 (พุทธศึกษา),ไม่ระบุข้อมูล,7533
2563,หญิง,มัธยมศึกษาปีที่ 5 (พุทธศึกษา),ไม่ระบุข้อมูล,1
2563,หญิง,อนุบาล 3(หลักสูตร 3 ปีของ สช.)/อนุบาล 2,ไม่สามารถจำแนกข้อมูลได้,33594
2563,ชาย,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),ไม่สามารถจำแนกข้อมูลได้,2279
2563,ข้อมูล error,อนุบาล 1(หลักสูตร 3 ปีของ สช.)/อนุบาล 3 ขวบ,ไม่สามารถจำแนกข้อมูลได้,7
2563,หญิง,ประถมศึกษาปีที่ 2/เกรด 2,อยู่ระหว่างดำเนินการติดตาม,1
2563,ชาย,ดุริยางค์ทหารบก/ดุริยางค์ทหารเรือชั้นปีที่ 1,ไม่สามารถจำแนกข้อมูลได้,10
2562,ชาย,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,อยู่ระหว่างดำเนินการติดตาม,1931
2562,หญิง,มัธยมศึกษาปีที่ 2 /เกรด 8/ นาฎศิลป์ชั้นที่ 2,อยู่ระหว่างดำเนินการติดตาม,929
2562,ชาย,มัธยมศึกษาปีที่ 2 (พุทธศึกษา),ไม่ระบุข้อมูล,9061
2562,หญิง,ประกาศนียบัตรวิชาชีพปีที่ 1,พักการเรียน,239
2562,ชาย,มัธยมศึกษาปีที่ 1 (พุทธศึกษา),ไม่จัดเก็บข้อมูล,7856
