TRN_STUDENT_ACADEMICYEAR,TRN_STUDENT_GENDER_NAME,TRN_STUDENT_GRADE_LEVEL_NAME,TRN_STUDENT_STUDENTSTATUS_NAME,TOTAL
2562,หญิง,ประกาศนียบัตรวิชาชีพปีที่ 2,พักการเรียน,1045
2562,ชาย,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 1/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,พักการเรียน,336
2562,ชาย,มัธยมศึกษาปีที่ 2 (พุทธศึกษา),ไม่จัดเก็บข้อมูล,7262
2562,ชาย,ปริญญาตรีชั้นปีที่ 5 (สามัญ),ไม่จัดเก็บข้อมูล,81
2562,หญิง,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,พักการเรียน,1
2562,หญิง,มัธยมศึกษาปีที่ 4 (พุทธศึกษา),ไม่ระบุข้อมูล,134
2562,ไม่ระบุข้อมูล,ไม่ระบุข้อมูล,ไม่ระบุข้อมูล,226
2562,หญิง,ประถมศึกษาปีที่ 2/เกรด 2,ไม่ระบุข้อมูล,15684
2562,ชาย,ปริญญาตรีชั้นปีที่ 1 (อาชีวศึกษา),พักการเรียน,3
2562,หญิง,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,ไม่ระบุข้อมูล,16027
2562,หญิง,มัธยมศึกษาปีที่ 5 (พุทธศึกษา),ไม่ระบุข้อมูล,130
2562,ไม่ระบุข้อมูล,ประถมศึกษาปีที่ 1/เกรด 1,ไม่ระบุข้อมูล,532
2562,ชาย,มัธยมศึกษาปีที่ 5 (พุทธศึกษา),พักการเรียน,20
2562,ชาย,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),พักการเรียน,3
2562,หญิง,ประถมศึกษาปีที่ 3/เกรด 3,อยู่ระหว่างดำเนินการติดตาม,160
2562,หญิง,อนุบาล 1(หลักสูตร 3 ปีของ สช.)/อนุบาล 3 ขวบ,อยู่ระหว่างดำเนินการติดตาม,6
2563,หญิง,มัธยมศึกษาปีที่ 4/เกรด10/เตรียมทหารชั้นปีที่ 1,พักการเรียน,1
2563,ชาย,มัธยมศึกษาปีที่ 4/เกรด10/เตรียมทหารชั้นปีที่ 1,ไม่สามารถจำแนกข้อมูลได้,12709
2563,หญิง,มัธยมศึกษาปีที่ 6/เกรด12/เตรียมทหารชั้นปีที่ 3/กศน.มัธยมศึกษา,ไม่สามารถจำแนกข้อมูลได้,111687
2563,หญิง,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,ไม่สามารถจำแนกข้อมูลได้,35507
2563,ชาย,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,ไม่สามารถจำแนกข้อมูลได้,36962
2563,ชาย,ไม่สามารถจำแนกข้อมูลได้,ไม่สามารถจำแนกข้อมูลได้,164
2563,ชาย,เตรียมอนุบาล,ไม่สามารถจำแนกข้อมูลได้,377
2563,ชาย,ดุริยางค์ทหารบก/ดุริยางค์ทหารเรือชั้นปีที่ 2,ไม่สามารถจำแนกข้อมูลได้,8
