HDI Rank,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010-2019
60, Oman,..,..,..,..,..,..,..,..,..,..,..,87,..,..,..,..,100,100,100,..,100
115," Palestine, State of",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65,72,95,..,95
103, Paraguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22,..,..,..,22
79, Peru,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,71,74,..,74
35, Poland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,100
38, Portugal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,100
45, Qatar,..,..,..,..,..,..,..,..,..,..,..,60,..,..,..,..,100,100,100,..,100
160, Rwanda,..,..,..,..,..,..,..,..,..,..,..,17,17,18,23,28,33,..,54,..,54
74, Saint Kitts and Nevis,..,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,100,..,..,..,100
86, Saint Lucia,..,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,..,100,100,..,100
97, Saint Vincent and the Grenadines,..,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,100,100,96,..,96
111, Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23,23,..,..,23
.., San Marino,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,100
40, Saudi Arabia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,..,100
168, Senegal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44,..,44
67, Seychelles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,97,100,..,100
182, Sierra Leone,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,4,..,4
39, Slovakia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,..,..,..,100
22, Slovenia,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,100
151, Solomon Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,..,12,..,12
25, Spain,..,..,..,..,..,..,..,99,100,100,100,100,99,100,100,100,100,100,100,..,100
72, Sri Lanka,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23,..,23
2, Switzerland,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,..,..,..,100
79, Thailand,..,..,..,..,..,..,..,..,..,..,..,97,..,..,..,..,..,..,..,..,97
95, Tunisia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98,97,..,97
74, Ukraine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91,94,95,..,95
31, United Arab Emirates,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,..,..,100
55, Uruguay,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,100,100,100,..,..,100
106, Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90,89,..,89
169, Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
18, Austria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
158, Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
56, Bulgaria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
58, Bahamas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
73, Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
110, Belize,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
58, Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
47, Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
188, Central African Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
16, Canada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
43, Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
162, Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
175, Congo (Democratic Republic of the),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
149, Congo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
33, Cyprus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
27, Czechia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
6, Germany,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
166, Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
88, Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
91, Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
180, Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
173, Ethiopia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
93, Fiji,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
136, Micronesia (Federated States of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
119, Gabon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
13, United Kingdom,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
178, Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
172, Gambia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
175, Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
145, Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
32, Greece,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
122, Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
132, Honduras,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
43, Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
170, Haiti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
131, India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2, Ireland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
123, Iraq,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
4, Iceland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
19, Japan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
51, Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
143, Kenya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
144, Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
134, Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
64, Kuwait,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
